region,stationID,station,Y,X
PNCA,CF01,1,-8.449130000000000,-61.752940000000002
PNCA,CF02,2,-8.472550000000000,-61.730400000000003
PNCA,CF03,3,-8.383929999999999,-61.717480000000002
PNCA,CF04,4,-8.630060000000000,-61.431500000000000
PNCA,CF05,5,-8.446529999999999,-61.649610000000003
PNCA,CF06,6,-8.495810000000001,-61.618740000000003
PNCA,CF07,7,-8.625909999999999,-61.327320000000000
PNCA,CF08,8,-8.452260000000001,-61.531379999999999
PNCA,CF09,9,-8.523470000000000,-61.621389999999998
PNCA,CF10,10,-8.509029999999999,-61.543230000000001
PNCA,CF11,11,-8.480950000000000,-61.501710000000003
PNCA,CF12,12,-8.459560000000000,-61.454900000000002
PNCA,CF13,13,-8.480580000000000,-61.441339999999997
PNCA,CF14,14,-8.569929999999999,-61.465949999999999
PNCA,CF15,15,-8.576129999999999,-61.431690000000003
PNCA,CF16,16,-8.507690000000000,-61.412730000000003
PNCA,CF17,17,-8.541130000000001,-61.394720000000000
PNCA,CF18,18,-8.491460000000000,-61.338650000000001
PNCA,CF19,19,-8.608810000000000,-61.343589999999999
PNCA,CF20,20,-8.633050000000001,-61.252350000000000
PNCA,CL21,21,-8.364200000000000,-61.709789999999998
PNCA,CL22,22,-8.422510000000001,-61.719490000000000
PNCA,CL23,23,-8.488700000000000,-61.711030000000001
PNCA,CL24,24,-8.508550000000000,-61.464250000000000
PNCA,CL25,25,-8.478560000000000,-61.579999999999998
PNCA,CL26,26,-8.458760000000000,-61.652900000000002
PNCA,CL27,27,-8.447179999999999,-61.676839999999999
PNCA,CL28,28,-8.463200000000001,-61.577350000000003
PNCA,CL29,29,-8.515960000000000,-61.580010000000001
PNCA,CL30,30,-8.479150000000001,-61.543379999999999
PNCA,CL31,31,-8.519909999999999,-61.495460000000001
PNCA,CL32,32,-8.561249999999999,-61.509110000000000
PNCA,CL33,33,-8.536460000000000,-61.436889999999998
PNCA,CL34,34,-8.485860000000001,-61.399729999999998
PNCA,CL35,35,-8.453310000000000,-61.345419999999997
PNCA,CL36,36,-8.524020000000000,-61.362949999999998
PNCA,CL37,37,-8.606090000000000,-61.403509999999997
PNCA,CL38,38,-8.631140000000000,-61.307729999999999
PNCA,CL39,39,-8.648479999999999,-61.268540000000002
PNCA,CL40,40,-8.623020000000000,-61.226920000000000
PNCA,ESTRADA1,41,-8.098903999999999,-61.093389999999999
PNCA,ESTRADA2,42,-8.097619999999999,-61.074930000000002
PNCA,ESTRADA3,43,-8.100256999999999,-61.107295000000001
PNCA,ESTRADA4,44,-8.080359000000000,-61.111342000000000
PNCA,ESTRADA5,45,-8.123161000000000,-61.100817999999997
PNCA,F41,46,-7.938420000000000,-61.003950000000003
PNCA,F41B,47,-8.529828999999999,-60.910272999999997
PNCA,F42,48,-8.150510000000001,-61.053300000000000
PNCA,F42B,49,-8.527658000000001,-60.890788000000001
PNCA,F43,50,-8.025010000000000,-60.939779999999999
PNCA,F43B,51,-8.551676000000000,-60.931570999999998
PNCA,F44,52,-8.002350000000000,-60.941189999999999
PNCA,F44B,53,-8.595720000000000,-60.888440000000003
PNCA,F45,54,-8.024929999999999,-60.914250000000003
PNCA,F45B,55,-8.454761000000000,-60.932084000000003
PNCA,F46,56,-8.046559999999999,-60.937710000000003
PNCA,F46B,57,-8.454326000000000,-60.913203000000003
PNCA,F47,58,-8.360429999999999,-61.029229999999998
PNCA,F47B,59,-8.408115000000000,-60.915731999999998
PNCA,F48,60,-8.358779999999999,-61.047319999999999
PNCA,F48B,61,-8.592449999999999,-60.950060000000001
PNCA,F49,62,-8.206680000000000,-61.055019999999999
PNCA,F49B,63,-8.469711999999999,-60.984000999999999
PNCA,F50,64,-8.211140000000000,-60.973199999999999
PNCA,F50B,65,-8.385700999999999,-60.988984000000002
PNCA,F51,66,-8.224959999999999,-60.992690000000003
PNCA,F51B,67,-8.389841000000001,-60.967190000000002
PNCA,F52,68,-8.247579999999999,-60.931150000000002
PNCA,F52B,69,-8.388939000000001,-60.947676999999999
PNCA,F53,70,-8.246190000000000,-60.907950000000000
PNCA,F53B,71,-8.323347999999999,-60.983199999999997
PNCA,F54,72,-8.358530000000000,-61.001779999999997
PNCA,F54B,73,-8.219677000000001,-61.039343000000002
PNCA,F55,74,-8.285650000000000,-60.972299999999997
PNCA,F56,75,-8.027699999999999,-60.898400000000002
PNCA,F56B,76,-8.416378999999999,-60.940193000000001
PNCA,F57,77,-8.007330000000000,-60.961970000000001
PNCA,F57B,78,-8.408115000000000,-60.915731999999998
PNCA,F58,79,-7.978380000000000,-60.940840000000001
PNCA,F58B,80,-8.551230000000000,-60.906750000000002
PNCA,F59,81,-7.998970000000000,-60.988570000000003
PNCA,F59B,82,-8.269526000000001,-60.970058000000002
PNCA,F60,83,-7.986710000000000,-61.014479999999999
PNCA,MANEJO1,84,-8.064946000000001,-61.101581000000003
PNCA,MANEJO2,85,-8.073505000000001,-61.107424999999999
PNCA,MANEJO3,86,-8.070133999999999,-61.086170000000003
PNM,CF106,87,-7.736900000000000,-63.758159999999997
PNM,CF107,88,-7.705030000000000,-63.758040000000001
PNM,CF108,89,-7.753880000000000,-63.816640000000000
PNM,CF110,90,-7.790890000000000,-63.853859999999997
PNM,CF111,91,-7.832820000000000,-63.840380000000003
PNM,CF112,92,-7.862380000000000,-63.826230000000002
PNM,CF127,93,-8.655139999999999,-64.359830000000002
PNM,CF129,94,-8.633660000000001,-64.439189999999996
PNM,CF155,95,-8.941950000000000,-64.579040000000006
PNM,CFn1,96,-8.642490000000000,-64.324550000000002
PNM,CFn2,97,-8.812569999999999,-64.391819999999996
PNM,CL100,98,-7.660070000000000,-63.783600000000000
PNM,CL101,99,-7.701420000000000,-63.795699999999997
PNM,CL102,100,-7.747980000000000,-63.786450000000002
PNM,CL103,101,-7.769890000000000,-63.889550000000000
PNM,CL104,102,-7.853670000000000,-63.878639999999997
