site,Y,X
ESM01,-9.005246,-61.586353
ESM02,-9.013103,-61.631477
ESM03,-9.18494,-61.668475
ESM04,-9.171413,-61.661961
ESM05,-9.102254,-61.658454
ESM06,-9.067144,-61.638128
ESM07,-9.058391,-61.629295
ESM08,-9.037801,-61616628
ESM09,-9.081199,-61.646411
ESM10,-9.031511,-61.669508
ESM11,-9.060477,-61.668565
ESM12,-9.086307,-61.65526
ESM13,-9.143553,-61.747634
ESM14,-9.13754,-61.747662
ESM14,-9.121812,-61.744671
ESM16,-9.102916,-61.730941
ESM17,-9.090859,-61.727372
ESM17,-9.088147,-61.723948
ESM18,-9.164452,-61.775385
ESM19,-9.137358,-61.813051
ESM20,-9.109144,-61.809005
ESM21,-9.089029,-61.812572
ESM22,-9.193553,-61.702043
ESM23,-9.17646,-61.72438
ESM24,-9.144478,-61.699276
ESM25,-9.121864,-61.687828
ESM26,-9.065769,-61.698827
ESM27,-9.047845,-61.702596
ESM28,-9.046215,-61.703222
ESM29,-9.079688,-61.695795
EJD22,-8.968434,-64.268816
EJD21,-9.092819,-64.391282
EJD01,-8.950502,-64.120265
EJD02,-8.968521,-64.168984
EJD03,-8.985063,-64.202732
EJD04,-8.975131,-64.2146
EJD05,-9.028804,-64.564904
EJD06,-9.045948,-64.548991
EJD07,-9.093563,-64.452673
EJD08,-9.045543,-64.436992
EJD09,-9.068866,-64.413426
EJD10,-8.994989,-64.425371
EJD11,-9.062279,-64.358561
EJD12,-9.023313,-64.395038
EJD13,-8.980958,-64.378987
EJD14,-9.006834,-64.352828
EJD15,-8.937838,-64.357156
EJD16,-9.0003,-64.294909
EJD17,-8.944687,-64.294481
EJD18,-9.037778,-64.509202
EJD19,-8.933241,-64.254838
EJD20,-8.939153,-64.199161
Q7368.69,-9.061379,-63.243855
Q7369,-9.05668,-63.238127
Q7524,-9.101243,-63.232278
Q7991,-9.2541,-63.14094
Q8916,-9.49096,-63.371593
Q9074,-9.574842,-63.212019
Q9536,-9.713042,-63.35572
Q10162,-9.848788,-63.077592
Q7809,-9.180815,-64.369926
Q7199,-9.03473,-63.917925
Q9193,-9.573048,-64.864782
Q9040,-9.555216,-64.78375
Q8734,-9.451445,-64.607934
Q9196,-9.59049155,-64.72513659
Q11721,-10.311168,-62.672988
Q11730,-10.338061,-62.265374
Q11576,-10.286794,-62.21546
Q11727,-10.30703288,-62.41713471
Q11109,-10.143437,-62.288078
Q11268,-10.19451,-62.130514
Q10958,-10.101436,-62.147696
Q10650,-9.989386238,-62.08495301
Q10340,-9.9161,-62.027208
Q10183,-9.844724,-62.143018
Q10027,-9.794911081,-62.17387285
Q9871,-9.780235,-62.211356
Q8632,-9.398723,-62.173957
Q6279,-8.71352,-63.442229
Q6126,-8.675916,-63.366855
Q6131,-8.68374,-63.108137
Q6129,-8.682879,-63.22725
Q5661,-8.564071,-63.369165
Q5969,-8.636267662,-63.44984818
Q9967,-9.797821,-64.866902
Q9805,-9.752673,-65.230793
Q10581,-9.967188,-65.155308
Q10428,-9.957274,-65.10009
Q11052,-10.113675,-64.90125
Q11675,-10.319328,-64.78481
Q11057,-10.143516,-64.69171
Q11520,-10.28117822,-64.79679465
Q11209,-10.16188748,-64.81957231
Q10432,-9.956488274,-64.89732452
Q10744,-10.022948,-64.820096
Q9697,-9.751092,-63.084754
Q9855,-9.752675,-62.927816
Q8776,-9.472818,-62.677242
Q9084,-9.565628,-62.788649
Q8310,-9.317564,-62.716378
Q7848,-9.177287,-62.60513
Q7539,-9.077508,-62.531034
Q8323,-9.348002,-62.135462
Q7509,-9.080843,-63.918501
Q7203,-8.991811,-63.701841
Q7358,-9.04113,-63.696448
Q7669,-9.138458,-63.681077
Q11530,-10.271685,-64.321995
Q11229,-10.169387,-63.908957
Q11994,-10.393876,-64.346978
Q11533,-10.263848,-64.166262
Q11539,-10.261025,-63.920986
Q10913,-10.114834,-64.161993
Q10921,-10.101991,-63.820234
Q1O924,-10.11333,-63.669298
Q11234,-10.169863,-63.660504
Q11709,-10.31409,-63.219805
Q11398,-10.24016,-63.266982
Q5957,-8.629594,-63.983286
Q5646,-8.539962,-64.018986
Q5030,-8.357174,-63.868239
Q11046,-10.105175,-65.205758
Q10894,-10.097348,-65.034682
Q12131,-10.445075,-65.185539
Q11818,-10.358515,-65.299822
Q12135,-10.411664,-65.005275
Q11982,-10.416221,-64.931792
Q8449,-9.35337,-63.442171
Q7831,-9.168371279,-63.35413559
Q8144,-9.269951731,-63.21339967
Q8608,-9.403394647,-63.28694056
Q6734,-8.876402,-63.905791
Q10169,-9.888497,-62.768926
Q10173,-9.854438,-62.590256
Q9562,-9.689103,-62.180063
Q8483,-9.360534,-61.932116
Q8174,-9.288403,-61.851641
Q8015,-9.242794,-62.023852
Q7394,-9.068881,-62.073912
Q9710,-9.739681,-62.420777
Q9876,-9.771781,-61.994279
Q9687,-9.715309,-63.544763
Q10306,-9.920625,-63.594713
Q9683,-9.715685,-63.704499
Q9217,-9.599927,-63.753158
Q9218,-9.619584,-63.70833
Q9058,-9.558302,-63.944176
Q10143,-9.868714,-63.952433
Q9365,-9.663148,-64.100625
Q10297,-9.940825,-64.025176
Q8742,-9.443595,-64.237217
Q7967,-9.254248,-64.237073
Q10621,-10.01992562,-63.35799529
Q10782,-10.027993,-63.094796
Q11099,-10.115055,-62.774109
Q9260,-9.58737,-61.831378
Q8947,-9.485504,-61.980093
Q9251,-9.591806,-62.225351
Q8374,-9.360243,-62.378778
Q11260,-10.190962,-62.460948
