site	Y	X
ESM01	"-9,005246"	"-61,586353"
ESM02	"-9,013103"	"-61,631477"
ESM03	"-9,18494"	"-61,668475"
ESM04	"-9,171413"	"-61,661961"
ESM05	"-9,102254"	"-61,658454"
ESM06	"-9,067144"	"-61,638128"
ESM07	"-9,058391"	"-61,629295"
ESM08	"-9,037801"	"-61,616628"
ESM09	"-9,081199"	"-61,646411"
ESM10	"-9,031511"	"-61,669508"
ESM11	"-9,060477"	"-61,668565"
ESM12	"-9,086307"	"-61,65526"
ESM13	"-9,143553"	"-61,747634"
ESM14	"-9,13754"	"-61,747662"
ESM14	"-9,121812"	"-61,744671"
ESM16	"-9,102916"	"-61,730941"
ESM17	"-9,090859"	"-61,727372"
ESM17	"-9,088147"	"-61,723948"
ESM18	"-9,164452"	"-61,775385"
ESM19	"-9,137358"	"-61,813051"
ESM20	"-9,109144"	"-61,809005"
ESM21	"-9,089029"	"-61,812572"
ESM22	"-9,193553"	"-61,702043"
ESM23	"-9,17646"	"-61,72438"
ESM24	"-9,144478"	"-61,699276"
ESM25	"-9,121864"	"-61,687828"
ESM26	"-9,065769"	"-61,698827"
ESM27	"-9,047845"	"-61,702596"
ESM28	"-9,046215"	"-61,703222"
ESM29	"-9,079688"	"-61,695795"
EJD22	-8.968434	-64.268816
EJD21	-9.092819	-64.391282
EJD01	-8.950502	-64.120265
EJD02	-8.968521	-64.168984
EJD03	-8.985063	-64.202732
EJD04	-8.975131	-64.2146
EJD05	-9.028804	-64.564904
EJD06	-9.045948	-64.548991
EJD07	-9.093563	-64.452673
EJD08	-9.045543	-64.436992
EJD09	-9.068866	-64.413426
EJD10	-8.994989	-64.425371
EJD11	-9.062279	-64.358561
EJD12	-9.023313	-64.395038
EJD13	-8.980958	-64.378987
EJD14	-9.006834	-64.352828
EJD15	-8.937838	-64.357156
EJD16	-9.0003	-64.294909
EJD17	-8.944687	-64.294481
EJD18	-9.037778	-64.509202
EJD19	-8.933241	-64.254838
EJD20	-8.939153	-64.199161
